k[h/Mpc] d^2P/dk^2(z=0.00) d^2P/dk^2(z=0.08) d^2P/dk^2(z=0.17) d^2P/dk^2(z=0.29) d^2P/dk^2(z=0.42) d^2P/dk^2(z=0.59) d^2P/dk^2(z=0.80) d^2P/dk^2(z=1.08) d^2P/dk^2(z=1.45) d^2P/dk^2(z=2.00) 
0.0010176 1372448305.05 1597327713.64 1307249303.55 1185817344.98 1247545353.15 11764043.5887 87947174.4446 808521200.617 190506911.181 294504025.853 
0.0010381 -2333388799.09 -1649476439.54 -1839484905.82 -2077107609.31 -1742271082.83 -542763969.308 -312948618.088 -1114520434.71 -362306525.811 -434451201.564 
0.0010591 416269284.925 -515297716.458 -45268182.5291 581055917.063 259284283.841 -753282435.312 -574529313.012 230970099.771 184114209.285 85672413.5237 
0.0010805 -258135736.423 329027640.49 324948888.3 -151919518.618 20943109.0062 822406137.089 499963380.216 -8723167.5448 -124485699.375 -59145373.2647 
0.0011023 -1497627393.08 -1423553809.48 -1550213807.96 -1124618014.07 -962891024.449 -1281062281.97 -862953894.735 -369148345.987 -713896397.015 -240244671.206 
0.0011246 984258973.903 654142752.693 627770104.344 224232169.022 339865386.903 587871673.773 256694876.544 -247154000.103 836590102.587 97585457.5677 
0.0011473 -1924626082.32 -1680647179.47 -1154032831.98 -755422901.459 -908044920.407 -1051394282.69 -786121467.452 47619073.6067 -1179649848.73 -255843413.009 
0.0011705 838150417.216 701561896.581 386930338.155 -44139409.5894 156893692.087 265377170.496 462983846.102 -354190092.72 799605303.522 96765328.2669 
0.0011941 -874972431.462 -405928518.223 -511574528.031 81862424.2701 -138224185.136 55356135.9134 -506231584.386 187796635.493 -655777492.64 -106270819.12 
0.0012182 -1607524634.6 -1842205091.25 -1584270630.98 -1782239186.37 -1379279145.06 -1424493325.15 -633724411.054 -742358184.293 53213363.5639 -314919073.129 
0.0012429 680594278.449 848288774.472 785039234.897 955628047.681 651343285.506 779871000.133 357796727.898 199661396.387 -162129689.698 119759289.795 
